questions,step,content,label,is_calculation_or_reasoning,equation,leftSideOfEqualSign,rightSideOfEqualSign,leftSideOfEqual_use_sympy_or_llm,rightSideOfEqual_use_sympy_or_llm,leftSideOfEqual_code,rightSideOfEqual_code,JudgmentStepCalculatedCorrectly,StepCalculatedCorrectlyResult
"Jack is making barbecue sauce. He uses 3 cups of ketchup, 1 cup of vinegar and 1 cup of honey. If each burger takes 1/4 cup of sauce and each pulled pork sandwich takes 1/6 cup, how many burgers can Jack make if he makes 18 pulled pork sandwiches?",Step 4,Then subtract the pulled pork sandwiches from the burgers to find how many are left: 20 - 30 = <<20-30=10>>10 cups,0,1,['20-30=10'],['20-30=>-10=>-10.0000000000000'],['10=>10.0000000000000'],['sympy'],['sympy'],[''],[''],[0],['-10.0000000000000']
"Jack is making barbecue sauce. He uses 3 cups of ketchup, 1 cup of vinegar and 1 cup of honey. If each burger takes 1/4 cup of sauce and each pulled pork sandwich takes 1/6 cup, how many burgers can Jack make if he makes 18 pulled pork sandwiches?",Step 5,Then divide those into 1/4 cup portions to find how many burgers Jack can make: 10 / 1/4 = <<10/4=25>>25 burgers The answer is: 25,0,1,['10/4=25'],['10/4=>5/2=>2.50000000000000'],['25=>25.0000000000000'],['sympy'],['sympy'],[''],[''],[0],['2.50000000000000']
Emily has 6 marbles. Megan gives Emily double the number she has. Emily then gives Megan back half of her new total plus 1. How many marbles does Emily have now?,Step 1,Megan gives Emily 6*2=<<6*2=12>>12 marbles.,1,1,['6*2=12'],['6*2=>12=>12.0000000000000'],['12=>12.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['12.0000000000000']
Emily has 6 marbles. Megan gives Emily double the number she has. Emily then gives Megan back half of her new total plus 1. How many marbles does Emily have now?,Step 2,Emily now has 6+12=<<6+12=18>>18 marbles,1,1,['6+12=18'],['6+12=>18=>18.0000000000000'],['18=>18.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['18.0000000000000']
Emily has 6 marbles. Megan gives Emily double the number she has. Emily then gives Megan back half of her new total plus 1. How many marbles does Emily have now?,Step 3,Emily gives 18/2=<<18/2=9>>9 marbles to Megan. The answer is: 9,0,1,['18/2=9'],['18/2=>9=>9.00000000000000'],['9=>9.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['9.00000000000000']
"Elvis is releasing a new album with 10 songs, but he doesn't want to waste too much time on writing. He spends 5 hours in the studio, where he writes, records, and edits his songs. Each song takes 12 minutes to record, then it takes 30 minutes to edit all of his songs.   How many minutes did it take Elvis to write each song, if each song took the same amount of time to write?",Step 1,First find how long the writing and recording took: 5 hours * 60 minutes/hour = <<5*60=300>>300 minutes,1,1,['5*60=300'],['5*60=>300=>300.000000000000'],['300=>300.000000000000'],['sympy'],['sympy'],[''],[''],[1],['300.000000000000']
"Elvis is releasing a new album with 10 songs, but he doesn't want to waste too much time on writing. He spends 5 hours in the studio, where he writes, records, and edits his songs. Each song takes 12 minutes to record, then it takes 30 minutes to edit all of his songs.   How many minutes did it take Elvis to write each song, if each song took the same amount of time to write?",Step 2,Then subtract the time spent editing to find out how long it took to write each song: 300 - 30 = <<300-30=270>>270 minutes,0,1,['300-30=270'],['300-30=>270=>270.000000000000'],['270=>270.000000000000'],['sympy'],['sympy'],[''],[''],[1],['270.000000000000']
"Elvis is releasing a new album with 10 songs, but he doesn't want to waste too much time on writing. He spends 5 hours in the studio, where he writes, records, and edits his songs. Each song takes 12 minutes to record, then it takes 30 minutes to edit all of his songs.   How many minutes did it take Elvis to write each song, if each song took the same amount of time to write?",Step 3,Then divide that number by the number of songs to find out how long each song took to write: 270 / 10 = <<270/10=27>>27 minutes/song The answer is: 27,0,1,['270/10=27'],['270/10=>27=>27.0000000000000'],['27=>27.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['27.0000000000000']
Wanda has 62 crayons. Dina has 28 and Jacob has two fewer crayons than Dina. How many crayons do they have in total?,Step 1,"Dina has 28 crayons, so Jacob has 28 - 2 = <<28-2=26>>26 crayons.",1,1,['28-2=26'],['28-2=>26=>26.0000000000000'],['26=>26.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['26.0000000000000']
Wanda has 62 crayons. Dina has 28 and Jacob has two fewer crayons than Dina. How many crayons do they have in total?,Step 2,"The total number of crayons that Wanda, Dina and Jacob have is 62 + 28 + 26 = <<62+28+26=96>>96.",0,1,['62+28+26=96'],['62+28+26=>116=>116.000000000000'],['96=>96.0000000000000'],['sympy'],['sympy'],[''],[''],[0],['116.000000000000']
Wanda has 62 crayons. Dina has 28 and Jacob has two fewer crayons than Dina. How many crayons do they have in total?,Step 3,"Together, Wanda, Dina and Jacob have 96 crayons. The answer is: 96",0,0,[],[],[],[],[],[],[],[],[]
"Pete walks backwards three times faster than Susan walks forwards, and Tracy does one-handed cartwheels twice as fast as Susan walks forwards.  But Pete can walk on his hands only one quarter the speed that Tracy can do cartwheels.  If Pete walks on his hands at 2 miles per hour, how fast can Pete walk backwards, in miles per hour?",Step 1,Tracy can do cartwheels at 2*2=<<2*2=4>>4 miles per hour.,0,1,['2*2=4'],['2*2=>4=>4.00000000000000'],['4=>4.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['4.00000000000000']
"Pete walks backwards three times faster than Susan walks forwards, and Tracy does one-handed cartwheels twice as fast as Susan walks forwards.  But Pete can walk on his hands only one quarter the speed that Tracy can do cartwheels.  If Pete walks on his hands at 2 miles per hour, how fast can Pete walk backwards, in miles per hour?",Step 2,Pete walks backwards 4/4=<<4/4=1>>1 mile per hour. The answer is: 1,0,1,['4/4=1'],['4/4=>1=>1.00000000000000'],['1=>1.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['1.00000000000000']
"Every day in a week, Siena bookmarks 30 website pages from the research she does on her browser. If Siena has 400 bookmarked pages on her bookmarks library now, how many pages will she have in her bookmarks library at the end of March?",Step 1,Siena booksmarks 30 website pages every day in a week (30 * 7 = <<30*7=210>>210 website pages in a week).,0,1,['30*7=210'],['30*7=>210=>210.000000000000'],['210=>210.000000000000'],['sympy'],['sympy'],[''],[''],[1],['210.000000000000']
"Every day in a week, Siena bookmarks 30 website pages from the research she does on her browser. If Siena has 400 bookmarked pages on her bookmarks library now, how many pages will she have in her bookmarks library at the end of March?",Step 2,"If she has 400 bookmarked pages now, she will have 400 + 210 = <<400+210=610>>610 pages in her bookmarks library at the end of March. The answer is: 610",0,1,['400+210=610'],['400+210=>610=>610.000000000000'],['610=>610.000000000000'],['sympy'],['sympy'],[''],[''],[1],['610.000000000000']
"Gabby planted a watermelon vine, a peach tree, and two plum trees in the spring. Over the summer, the plants grew and produced fruit. She only got one watermelon to grow, but she got twelve more peaches than that, and three times that number of plums. How many pieces of fruit did Gabby get to pick that summer?",Step 1,"First, let’s look at the watermelon: one fruit x 12 peaches/watermelon = <<1*12=12>>12 peaches.",0,1,['1*12=12'],['1*12=>12=>12.0000000000000'],['12=>12.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['12.0000000000000']
"Gabby planted a watermelon vine, a peach tree, and two plum trees in the spring. Over the summer, the plants grew and produced fruit. She only got one watermelon to grow, but she got twelve more peaches than that, and three times that number of plums. How many pieces of fruit did Gabby get to pick that summer?",Step 2,Now let’s look at the peach tree: 12 peaches + 3 plums/peach = <<12+3=15>>15 plums.,0,1,['12+3=15'],['12+3=>15=>15.0000000000000'],['15=>15.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['15.0000000000000']
"Gabby planted a watermelon vine, a peach tree, and two plum trees in the spring. Over the summer, the plants grew and produced fruit. She only got one watermelon to grow, but she got twelve more peaches than that, and three times that number of plums. How many pieces of fruit did Gabby get to pick that summer?",Step 3,Now let’s look at the plum trees: 3 x 2 plums/tree = <<3*2=6>>6 plums.,0,1,['3*2=6'],['3*2=>6=>6.00000000000000'],['6=>6.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['6.00000000000000']
"Gabby planted a watermelon vine, a peach tree, and two plum trees in the spring. Over the summer, the plants grew and produced fruit. She only got one watermelon to grow, but she got twelve more peaches than that, and three times that number of plums. How many pieces of fruit did Gabby get to pick that summer?",Step 4,Now let’s add them all together: 12 peaches + 15 plums + 6 plums = <<12+15+6=33>>33 pieces of fruit.,0,1,['12+15+6=33'],['12+15+6=>33=>33.0000000000000'],['33=>33.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['33.0000000000000']
"Gabby planted a watermelon vine, a peach tree, and two plum trees in the spring. Over the summer, the plants grew and produced fruit. She only got one watermelon to grow, but she got twelve more peaches than that, and three times that number of plums. How many pieces of fruit did Gabby get to pick that summer?",Step 5,Now let’s add one more fruit for the watermelon: 33 fruit + 1 fruit = <<33+1=34>>34 fruit.,0,1,['33+1=34'],['33+1=>34=>34.0000000000000'],['34=>34.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['34.0000000000000']
"Gabby planted a watermelon vine, a peach tree, and two plum trees in the spring. Over the summer, the plants grew and produced fruit. She only got one watermelon to grow, but she got twelve more peaches than that, and three times that number of plums. How many pieces of fruit did Gabby get to pick that summer?",Step 6,Now let’s add one more for good measure: 34 fruit + 1 fruit = <<34+1=35>>35 fruit. The answer is: 35,0,1,['34+1=35'],['34+1=>35=>35.0000000000000'],['35=>35.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['35.0000000000000']
"Scott, Mary, and Ken committed to raising $4,000 for their local children’s cancer hospital. Right now, Mary’s collection is five times what Ken has, but three times Scott’s funds. If Ken has $600, by how much have the three exceeded their goal?",Step 1,"If Ken has raised $600, Mary has raised 5 * $600 = $<<5*600=3000>>3000.",1,1,['5*600=3000'],['5*600=>3000=>3000.00000000000'],['3000=>3000.00000000000'],['sympy'],['sympy'],[''],[''],[1],['3000.00000000000']
"Scott, Mary, and Ken committed to raising $4,000 for their local children’s cancer hospital. Right now, Mary’s collection is five times what Ken has, but three times Scott’s funds. If Ken has $600, by how much have the three exceeded their goal?",Step 2,"Scott’s collection is 3 times Ken’s, so Scott has raised $600 * 3 = $<<600*3=1800>>1800",0,1,['600*3=1800'],['600*3=>1800=>1800.00000000000'],['1800=>1800.00000000000'],['sympy'],['sympy'],[''],[''],[1],['1800.00000000000']
"Scott, Mary, and Ken committed to raising $4,000 for their local children’s cancer hospital. Right now, Mary’s collection is five times what Ken has, but three times Scott’s funds. If Ken has $600, by how much have the three exceeded their goal?",Step 3,"Together, Mary and Scott have raised $3000 + $1800 = $<<3000+1800=4800>>4800",0,1,['3000+1800=4800'],['3000+1800=>4800=>4800.00000000000'],['4800=>4800.00000000000'],['sympy'],['sympy'],[''],[''],[1],['4800.00000000000']
"Scott, Mary, and Ken committed to raising $4,000 for their local children’s cancer hospital. Right now, Mary’s collection is five times what Ken has, but three times Scott’s funds. If Ken has $600, by how much have the three exceeded their goal?",Step 4,"Together, the three have raised $4800 + $600 = $<<4800+600=5400>>5400, which is $400 more than their goal. The answer is: 400",0,1,['4800+600=5400'],['4800+600=>5400=>5400.00000000000'],['5400=>5400.00000000000'],['sympy'],['sympy'],[''],[''],[1],['5400.00000000000']
"Grant spends $200.00 a year to have the newspaper delivered daily to his house.  Juanita buys the newspaper daily.  Monday through Saturday, she spends $0.50 and on Sunday she spends $2.00.  How much more money does Juanita spend buying the newspaper yearly than Grant?",Step 1,Juanita spends 6 days * $0.50/day = $<<6*0.5=3.00>>3.00/day on the newspaper,0,1,['6*0.5=3.00'],['6*0.5=>3.00000000000000'],['3.00=>3.0=>3.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['3.00000000000000']
"Grant spends $200.00 a year to have the newspaper delivered daily to his house.  Juanita buys the newspaper daily.  Monday through Saturday, she spends $0.50 and on Sunday she spends $2.00.  How much more money does Juanita spend buying the newspaper yearly than Grant?",Step 2,She spends $3.00/day * 365 days/year = $<<3*365=1095>>1095/year on the newspaper,0,1,['3*365=1095'],['3*365=>1095=>1095.00000000000'],['1095=>1095.00000000000'],['sympy'],['sympy'],[''],[''],[1],['1095.00000000000']
"Grant spends $200.00 a year to have the newspaper delivered daily to his house.  Juanita buys the newspaper daily.  Monday through Saturday, she spends $0.50 and on Sunday she spends $2.00.  How much more money does Juanita spend buying the newspaper yearly than Grant?",Step 3,She spends 1 day * $2.00 = $<<1*2=2.00>>2.00 on the newspaper,0,1,['1*2=2.00'],['1*2=>2=>2.00000000000000'],['2.00=>2.0=>2.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['2.00000000000000']
"Grant spends $200.00 a year to have the newspaper delivered daily to his house.  Juanita buys the newspaper daily.  Monday through Saturday, she spends $0.50 and on Sunday she spends $2.00.  How much more money does Juanita spend buying the newspaper yearly than Grant?",Step 4,That means she spends $2.00 + $1095 = $<<2+1095=1100>>1100/year,0,1,['2+1095=1100'],['2+1095=>1097=>1097.00000000000'],['1100=>1100.00000000000'],['sympy'],['sympy'],[''],[''],[0],['1097.00000000000']
"Grant spends $200.00 a year to have the newspaper delivered daily to his house.  Juanita buys the newspaper daily.  Monday through Saturday, she spends $0.50 and on Sunday she spends $2.00.  How much more money does Juanita spend buying the newspaper yearly than Grant?",Step 5,Juanita spends $1100 - $200 = $<<1100-200=900>>900 more on the newspaper than Grant The answer is: 900,0,1,['1100-200=900'],['1100-200=>900=>900.000000000000'],['900=>900.000000000000'],['sympy'],['sympy'],[''],[''],[1],['900.000000000000']
"Louise is organizing her pencils, and decides she wants her boxes arranged by color. Each box holds 20 pencils each. She has 20 red pencils, twice as many blue pencils, 40 yellow pencils, and has as many green pencils as she has red and blue pencils combined. How many boxes does Louise need?",Step 1,Louise has 20 + 2 blue pencils = <<20+2=22>>22 pencils.,0,1,['20+2=22'],['20+2=>22=>22.0000000000000'],['22=>22.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['22.0000000000000']
"Louise is organizing her pencils, and decides she wants her boxes arranged by color. Each box holds 20 pencils each. She has 20 red pencils, twice as many blue pencils, 40 yellow pencils, and has as many green pencils as she has red and blue pencils combined. How many boxes does Louise need?",Step 2,She has 40 + 22 pencils = <<40+22=62>>62 pencils.,0,1,['40+22=62'],['40+22=>62=>62.0000000000000'],['62=>62.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['62.0000000000000']
"Louise is organizing her pencils, and decides she wants her boxes arranged by color. Each box holds 20 pencils each. She has 20 red pencils, twice as many blue pencils, 40 yellow pencils, and has as many green pencils as she has red and blue pencils combined. How many boxes does Louise need?",Step 3,"So, she has as many green pencils as red and blue pencils combined, which is 2 + 22 = <<2+22=24>>24 pencils.",0,1,['2+22=24'],['2+22=>24=>24.0000000000000'],['24=>24.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['24.0000000000000']
"Louise is organizing her pencils, and decides she wants her boxes arranged by color. Each box holds 20 pencils each. She has 20 red pencils, twice as many blue pencils, 40 yellow pencils, and has as many green pencils as she has red and blue pencils combined. How many boxes does Louise need?",Step 4,"In total, Louise has 20 red + 22 blue + 40 yellow + 24 green = <<20+22+40+24=86>>86 pencils.",0,1,['20+22+40+24=86'],['20+22+40+24=>106=>106.000000000000'],['86=>86.0000000000000'],['sympy'],['sympy'],[''],[''],[0],['106.000000000000']
"Louise is organizing her pencils, and decides she wants her boxes arranged by color. Each box holds 20 pencils each. She has 20 red pencils, twice as many blue pencils, 40 yellow pencils, and has as many green pencils as she has red and blue pencils combined. How many boxes does Louise need?",Step 5,"So, she needs 86 / 20 = <<86/20=4.3>>4.3 boxes.",0,1,['86/20=4.3'],['86/20=>43/10=>4.30000000000000'],['4.3=>4.30000000000000'],['sympy'],['sympy'],[''],[''],[1],['4.30000000000000']
"Louise is organizing her pencils, and decides she wants her boxes arranged by color. Each box holds 20 pencils each. She has 20 red pencils, twice as many blue pencils, 40 yellow pencils, and has as many green pencils as she has red and blue pencils combined. How many boxes does Louise need?",Step 6,"Therefore, Louise needs 4 + 3 = <<4+3=7>>7 boxes. The answer is: 7",0,1,['4+3=7'],['4+3=>7=>7.00000000000000'],['7=>7.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['7.00000000000000']
"Maurice is getting $2 for every finished task. And for every 10 tasks finished, he receives a $6 bonus. How much money would Maurice make for finishing 30 tasks?",Step 1,Maurice would get 30 * 2 = $<<30*2=60>>60 for finishing 30 tasks.,1,1,['30*2=60'],['30*2=>60=>60.0000000000000'],['60=>60.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['60.0000000000000']
"Maurice is getting $2 for every finished task. And for every 10 tasks finished, he receives a $6 bonus. How much money would Maurice make for finishing 30 tasks?",Step 2,And he would get a $6 bonus for 30 / 10 = <<30/10=3>>3 finished tasks.,0,1,['30/10=3'],['30/10=>3=>3.00000000000000'],['3=>3.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['3.00000000000000']
"Maurice is getting $2 for every finished task. And for every 10 tasks finished, he receives a $6 bonus. How much money would Maurice make for finishing 30 tasks?",Step 3,In total Maurice would make $60 + $6 = $<<60+6=66>>66 for finishing 30 tasks. The answer is: 66,0,1,['60+6=66'],['60+6=>66=>66.0000000000000'],['66=>66.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['66.0000000000000']
"Marcia wants to buy some fruit. Apples cost $2, bananas cost $1, and oranges cost $3. If Marcia buys 12 apples, 4 bananas and 4 oranges, what is the average cost of each piece of fruit in dollars?",Step 1,The cost of 12 apples is 12 * $2 = $<<12*2=24>>24.,1,1,['12*2=24'],['12*2=>24=>24.0000000000000'],['24=>24.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['24.0000000000000']
"Marcia wants to buy some fruit. Apples cost $2, bananas cost $1, and oranges cost $3. If Marcia buys 12 apples, 4 bananas and 4 oranges, what is the average cost of each piece of fruit in dollars?",Step 2,The cost of 4 bananas is 4 * $1 = $<<4*1=4>>4.,1,1,['4*1=4'],['4*1=>4=>4.00000000000000'],['4=>4.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['4.00000000000000']
"Marcia wants to buy some fruit. Apples cost $2, bananas cost $1, and oranges cost $3. If Marcia buys 12 apples, 4 bananas and 4 oranges, what is the average cost of each piece of fruit in dollars?",Step 3,"So in total, Marcia will pay $24 + $4 = $<<24+4=28>>28 for fruit.",0,1,['24+4=28'],['24+4=>28=>28.0000000000000'],['28=>28.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['28.0000000000000']
"Marcia wants to buy some fruit. Apples cost $2, bananas cost $1, and oranges cost $3. If Marcia buys 12 apples, 4 bananas and 4 oranges, what is the average cost of each piece of fruit in dollars?",Step 4,"The average cost of the 12 apples, 4 bananas and 4 oranges is $28 / 12 + 4 + 4 = $<<28/12+4+4=12>>12 per fruit. The answer is: 12",0,1,['28/12+4+4=12'],['28/12+4+4=>31/3=>10.3333333333333'],['12=>12.0000000000000'],['sympy'],['sympy'],[''],[''],[0],['10.3333333333333']
"Ben has two brothers. They can each eat 12 slices of pizza. They are ordering pizza for the night and want to make sure they get enough. The large pizzas have 14 slices and the small pizzas have 8. If they order 1 small pizza, how many large pizzas do they need to order?",Step 1,His brothers can eat a total of 12*2=<<12*2=24>>24 slices.,1,1,['12*2=24'],['12*2=>24=>24.0000000000000'],['24=>24.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['24.0000000000000']
"Ben has two brothers. They can each eat 12 slices of pizza. They are ordering pizza for the night and want to make sure they get enough. The large pizzas have 14 slices and the small pizzas have 8. If they order 1 small pizza, how many large pizzas do they need to order?",Step 2,"So, 24-8=<<24-8=16>>16 large pizza slices are needed. The answer is: 16",0,1,['24-8=16'],['24-8=>16=>16.0000000000000'],['16=>16.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['16.0000000000000']
